Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1765.267183
FDW14,OUT017,1383.913664
NCN55,OUT010,715.0957006
FDQ58,OUT017,2006.030125
FDY38,OUT027,5373.830799
FDH56,OUT046,2105.827061
FDL48,OUT018,762.6210614
FDC48,OUT027,2075.894848
FDN33,OUT045,1317.190436
FDA36,OUT017,2630.009336
FDT44,OUT017,1718.506191
FDQ56,OUT045,1522.856689
NCC54,OUT019,720.7661666
FDU11,OUT049,1990.32134
DRL59,OUT013,806.7869025
FDM24,OUT049,2497.392931
FDI57,OUT045,3655.485609
DRC12,OUT018,3125.173677
NCM42,OUT027,2676.809708
FDA46,OUT010,460.8209583
FDA31,OUT013,3040.586524
NCJ31,OUT035,3508.229391
FDG52,OUT046,816.5377869
NCL19,OUT019,318.1773169
FDS10,OUT035,3188.799106
FDX22,OUT010,516.8037178
NCF19,OUT035,793.9901615
NCE06,OUT046,2548.519774
DRC27,OUT046,3902.239565
FDE21,OUT035,2146.3871
NCR42,OUT019,141.346928
FDX51,OUT018,2785.655896
NCR06,OUT018,687.5094765
FDU31,OUT027,5103.222044
FDU59,OUT017,2415.283497
FDR03,OUT027,5258.725336
FDS49,OUT027,2325.613631
FDD48,OUT010,217.5874734
NCF18,OUT017,3141.241431
NCD43,OUT027,2475.93491
NCD54,OUT018,1962.029574
FDY19,OUT010,246.7593507
NCY54,OUT017,2356.181636
NCL19,OUT018,318.1773169
FDP23,OUT010,575.4402146
FDC26,OUT013,2038.540512
FDR14,OUT010,180.5242872
NCS41,OUT035,3001.20147
FDF41,OUT035,4106.97238
FDU34,OUT046,2090.37492
DRH11,OUT046,985.9407409
FDM03,OUT013,2028.713164
FDS31,OUT017,3015.886587
FDJ20,OUT017,1875.569873
FDV44,OUT027,4644.066145
FDG02,OUT049,2787.527871
FDA09,OUT013,3737.567224
FDT04,OUT013,620.7719578
FDL58,OUT019,613.8343326
FDE52,OUT045,1322.417758
FDW12,OUT035,2624.366847
FDL51,OUT017,3719.031519
NCY42,OUT027,2943.096614
FDR07,OUT017,1651.161669
FDN40,OUT045,2493.196779
FDB35,OUT027,2434.070937
FDA22,OUT017,2862.85575
NCL06,OUT046,4113.67669
FDI35,OUT013,3306.489046
NCW42,OUT045,3579.565408
NCX06,OUT049,3323.030293
FDC37,OUT027,2528.409448
FDZ14,OUT018,1894.410717
DRG49,OUT049,4899.893443
NCG06,OUT045,3756.394803
DRC36,OUT045,2983.699824
FDV21,OUT019,379.0401084
FDB53,OUT046,2920.280009
DRP47,OUT019,590.8919419
FDA14,OUT013,2163.817273
DRC24,OUT035,2773.140319
FDW21,OUT018,1455.264226
NCH29,OUT046,2045.084312
FDU58,OUT013,3068.365345
FDY27,OUT017,2029.131553
FDV56,OUT035,1768.599346
FDT59,OUT046,4347.849082
FDB23,OUT046,3629.75198
FDR49,OUT045,769.775764
FDB03,OUT010,622.144496
FDN39,OUT045,2760.323731
FDX02,OUT027,5209.491609
FDQ16,OUT027,2647.602068
FDU35,OUT018,1627.805476
NCT29,OUT013,1839.140738
FDZ27,OUT046,860.0883633
FDN57,OUT017,2275.112363
FDA03,OUT018,2032.678363
FDZ36,OUT045,3378.535115
NCU05,OUT013,1293.012491
FDT39,OUT018,2207.468519
FDK60,OUT017,1646.65199
FDZ25,OUT017,3115.500076
FDG12,OUT046,2438.83736
DRB01,OUT019,503.8757199
NCC43,OUT027,5157.413838
FDX13,OUT019,672.4498344
FDM22,OUT049,946.0973167
FDJ03,OUT027,1742.162391
FDU14,OUT018,3828.05708
FDB33,OUT010,412.2031234
FDP27,OUT046,3475.366415
FDO38,OUT010,188.0282139
FDE28,OUT027,5340.81377
FDO27,OUT035,1647.802884
DRL23,OUT027,2480.337464
FDS28,OUT046,963.7596041
FDX24,OUT013,1273.484627
FDZ02,OUT035,1352.186624
FDL46,OUT045,1574.196068
FDS60,OUT027,4344.795648
NCO06,OUT017,640.3223742
FDO16,OUT035,1725.095147
FDC60,OUT049,1724.345542
FDA48,OUT018,3407.033057
FDZ36,OUT027,3378.535115
FDK27,OUT045,1871.889087
FDW23,OUT018,751.7667922
FDM14,OUT018,1532.989973
FDM14,OUT013,1532.989973
FDW60,OUT018,2706.398537
FDE21,OUT013,2146.3871
NCM42,OUT035,2676.809708
FDY59,OUT010,172.918208
DRI49,OUT049,1433.579264
FDT28,OUT019,340.2505241
FDQ22,OUT018,665.412571
FDR60,OUT049,1140.045746
FDC50,OUT019,342.2332109
FDV24,OUT013,2571.51595
DRF48,OUT010,584.0684368
FDQ47,OUT046,903.381883
DRN36,OUT049,1776.109181
NCY06,OUT035,2075.377943
FDE52,OUT035,1322.417758
NCB54,OUT045,1752.052903
NCF31,OUT035,2456.344547
FDJ08,OUT027,4893.788952
NCC07,OUT017,1639.735577
NCD19,OUT027,1869.851432
FDL46,OUT049,1574.196068
FDM20,OUT045,4355.774967
NCI06,OUT010,433.3177942
DRM11,OUT035,3940.845162
NCH07,OUT018,2305.215876
FDS23,OUT013,2060.058399
FDO49,OUT018,755.3028183
FDS35,OUT049,1058.653476
DRK39,OUT045,1362.481919
DRI39,OUT049,890.4036546
FDV04,OUT017,1879.185839
NCN14,OUT035,2821.743608
FDH08,OUT013,3920.239407
FDS20,OUT046,3203.19505
FDV40,OUT049,1124.118578
FDZ48,OUT010,201.840419
FDS24,OUT027,2420.71433
FDK44,OUT049,2343.562013
FDS48,OUT045,2325.521361
FDK26,OUT010,486.6543869
FDD23,OUT045,3441.515672
NCH54,OUT017,2829.582844
NCP14,OUT010,241.8233509
FDM60,OUT010,132.8685938
FDV24,OUT017,2571.51595
FDH08,OUT018,3920.239407
FDS12,OUT027,3052.086793
FDR39,OUT027,4876.388539
FDP12,OUT027,1554.918304
DRF60,OUT027,5106.611202
FDC09,OUT035,1807.702317
FDF50,OUT018,2937.310192
FDG28,OUT035,3717.501847
NCE19,OUT017,880.0437701
NCM53,OUT010,287.6495512
NCN18,OUT049,1646.684569
FDF32,OUT035,3367.299327
FDF11,OUT013,3462.305314
DRI59,OUT049,3750.307089
NCG54,OUT035,3142.885799
FDM44,OUT046,1548.311143
FDT57,OUT018,2532.205268
FDV24,OUT046,2571.51595
FDI50,OUT019,677.7540532
FDS09,OUT035,933.4647016
NCC31,OUT027,4060.744891
FDQ07,OUT019,492.9121057
FDC22,OUT017,3340.690305
FDZ56,OUT046,2603.950893
FDZ40,OUT019,173.4558847
FDS46,OUT027,2771.355501
DRD24,OUT045,1849.619164
FDV45,OUT017,3157.780559
FDL26,OUT045,3314.002794
FDA56,OUT018,1567.431319
FDN27,OUT046,1687.3704
FDM20,OUT049,4355.774967
FDO16,OUT017,1725.095147
FDL03,OUT035,3279.048398
FDE58,OUT046,2059.498729
FDI02,OUT027,2915.133502
NCC55,OUT019,149.3702093
FDR03,OUT018,5258.725336
FDB14,OUT017,1584.849193
FDR45,OUT013,4051.74742
NCN07,OUT017,2148.424246
FDM51,OUT019,297.5135568
FDT52,OUT027,5524.562478
FDL26,OUT046,3314.002794
NCZ42,OUT046,3253.810455
DRI47,OUT019,429.0415964
FDW40,OUT013,2338.703497
FDN34,OUT046,3243.621636
FDS01,OUT035,3115.573402
NCG55,OUT045,1875.09981
FDC11,OUT035,1508.892372
FDX35,OUT018,3128.977242
NCB06,OUT046,2395.558398
FDR09,OUT019,550.9764652
FDC53,OUT017,1722.741695
FDY45,OUT013,3889.779926
FDA22,OUT010,2862.85575
FDE02,OUT035,1755.806447
FDW21,OUT045,1455.264226
FDV34,OUT046,1364.910713
FDS59,OUT049,2121.966229
NCW17,OUT017,2516.860127
NCK54,OUT046,1961.026289
FDG17,OUT019,599.5682159
FDG35,OUT017,3429.548275
FDD08,OUT010,143.2319882
NCO07,OUT017,3750.041115
FDJ10,OUT010,267.8377728
FDW36,OUT017,1663.06645
FDW21,OUT010,1455.264226
FDY19,OUT017,246.7593507
DRE03,OUT013,725.5930531
NCC55,OUT049,149.3702093
FDH52,OUT010,161.290767
FDO09,OUT017,4592.165808
FDU43,OUT045,4096.283553
FDX09,OUT010,431.725101
FDH40,OUT019,262.6614196
FDW58,OUT017,1765.267183
FDC47,OUT017,4702.580246
NCR41,OUT035,1623.831647
DRG49,OUT035,4899.893443
FDC52,OUT027,3991.581277
FDY13,OUT046,1314.67114
FDY35,OUT013,884.5360197
FDI35,OUT017,3306.489046
NCU18,OUT049,2474.840607
FDY33,OUT018,2696.731961
FDC15,OUT027,3904.343106
FDU01,OUT049,3407.873222
NCU42,OUT046,3228.080961
NCV29,OUT018,2353.934104
NCY30,OUT017,2981.62836
FDQ46,OUT049,1820.960653
FDG58,OUT027,3894.884659
FDK33,OUT017,4136.149625
NCD07,OUT045,1343.736387
NCX29,OUT027,3732.297535
NCT42,OUT013,2447.981794
DRN59,OUT035,808.7752416
FDI44,OUT035,1459.106492
FDA45,OUT049,2245.959332
FDP31,OUT045,945.4329437
FDY01,OUT046,1927.010126
FDT09,OUT018,1951.694221
DRH03,OUT027,2389.875962
FDA36,OUT018,2630.009336
NCF31,OUT017,2456.344547
FDG14,OUT049,2844.079785
FDG28,OUT027,3717.501847
FDU14,OUT049,3828.05708
FDY47,OUT019,311.8289481
FDI56,OUT049,1496.98768
DRD01,OUT013,879.9222438
FDM22,OUT046,946.0973167
FDH33,OUT013,710.5502656
DRZ24,OUT013,2050.672064
NCQ38,OUT046,1648.065336
FDO16,OUT027,1725.095147
FDU07,OUT027,3862.93118
NCB07,OUT013,2606.834945
FDU48,OUT045,1597.025173
NCM43,OUT045,2542.151898
FDR31,OUT010,321.9198473
DRK49,OUT018,513.644522
NCI30,OUT010,752.6637325
DRD60,OUT017,3097.658626
NCG19,OUT046,3011.475973
FDH12,OUT035,1653.930228
FDM32,OUT035,1720.222509
FDM27,OUT035,2608.431725
NCU53,OUT027,4147.892251
NCQ18,OUT046,1849.607952
FDS10,OUT013,3188.799106
FDB33,OUT027,412.2031234
FDI12,OUT013,1343.770901
NCW42,OUT013,3579.565408
NCC06,OUT018,1854.158216
FDW02,OUT017,2370.007413
NCD43,OUT017,2475.93491
FDM57,OUT018,1153.721277
FDA58,OUT017,3475.015802
FDK56,OUT046,3157.754406
FDP52,OUT045,3941.625767
FDW20,OUT018,1783.949446
FDS52,OUT049,1519.844924
NCT29,OUT018,1839.140738
NCL54,OUT013,3163.153588
FDC05,OUT045,2577.202255
FDF34,OUT035,2863.057621
FDP03,OUT027,2928.719869
FDD32,OUT010,172.7944886
FDZ10,OUT045,2155.06075
FDZ40,OUT035,173.4558847
FDD51,OUT018,711.1250135
NCY30,OUT019,2981.62836
FDP58,OUT017,3562.125223
FDV49,OUT017,4429.270666
FDY24,OUT019,190.0389803
NCO55,OUT017,1647.631507
FDR13,OUT017,1907.745655
FDS51,OUT017,988.8816851
FDP26,OUT045,1313.876091
NCB54,OUT027,1752.052903
FDF32,OUT017,3367.299327
FDN31,OUT018,2775.920312
DRM48,OUT017,807.6256416
FDN20,OUT049,2899.791199
DRL01,OUT046,3491.485524
FDV56,OUT049,1768.599346
DRH13,OUT027,2530.527885
FDA03,OUT017,2032.678363
FDF47,OUT027,4710.11109
FDX32,OUT046,2576.112333
FDX57,OUT049,1860.740515
NCA30,OUT045,3145.810585
FDO49,OUT013,755.3028183
FDL04,OUT019,264.7753475
DRM48,OUT035,807.6256416
FDR16,OUT013,3329.268488
NCC19,OUT018,2865.404486
NCE42,OUT045,2830.208803
FDY24,OUT017,190.0389803
FDH19,OUT049,2427.423146
FDJ46,OUT013,2641.425727
FDN45,OUT010,597.421505
FDY08,OUT035,2258.853903
FDZ37,OUT035,1587.830316
NCT30,OUT045,764.4845619
DRY23,OUT018,602.4089059
NCZ30,OUT018,1804.452043
FDC44,OUT018,1556.757549
FDB45,OUT035,1731.032521
FDY04,OUT013,2317.090454
FDM27,OUT046,2608.431725
FDZ43,OUT017,4480.529024
FDT39,OUT019,2207.468519
NCC06,OUT019,1854.158216
FDL15,OUT027,3914.758929
FDL57,OUT017,4829.006631
FDU08,OUT046,1502.729715
FDK40,OUT017,3886.327677
FDQ12,OUT010,495.5626877
FDS48,OUT017,2325.521361
FDP09,OUT045,3691.306209
FDW21,OUT049,1455.264226
FDY25,OUT035,3618.978881
DRE13,OUT017,1431.969866
FDV43,OUT019,173.6200956
FDD22,OUT045,1809.807222
FDM46,OUT019,300.7399195
NCO30,OUT010,461.5152914
FDM25,OUT046,2622.173255
NCN41,OUT049,2084.058877
FDU24,OUT045,1973.077573
FDZ50,OUT046,3169.920072
FDP45,OUT013,3822.796302
NCM54,OUT045,1785.990445
FDW10,OUT019,447.7627897
FDP20,OUT017,1916.794803
FDK32,OUT046,2567.54928
FDN52,OUT049,1227.733364
FDM58,OUT045,2208.897231
FDZ46,OUT027,2911.158188
NCA18,OUT018,1713.013237
FDD35,OUT046,2055.733525
NCK31,OUT035,910.3846736
FDI40,OUT027,2672.301142
FDT50,OUT019,252.371206
NCT06,OUT046,2640.246716
FDT31,OUT035,2934.172821
FDT45,OUT049,906.6182515
FDT13,OUT045,3309.397346
FDO50,OUT045,1465.830417
NCU18,OUT010,2474.840607
NCR54,OUT049,3257.218167
NCO18,OUT018,2518.788773
FDU09,OUT045,868.7426202
FDT13,OUT018,3309.397346
FDE09,OUT046,1818.701016
NCK53,OUT019,294.2131711
FDG45,OUT049,3589.904448
DRH15,OUT035,795.234458
FDO21,OUT019,544.0284682
FDD14,OUT027,4728.447532
FDC09,OUT046,1807.702317
FDH45,OUT027,1657.34086
FDV32,OUT046,1244.641311
FDG12,OUT035,2438.83736
FDS32,OUT013,2131.004846
NCL55,OUT018,3483.26975
DRE01,OUT035,4393.871303
DRE15,OUT049,1231.760468
NCL42,OUT045,4108.340502
FDP31,OUT013,945.4329437
FDN33,OUT018,1317.190436
FDZ59,OUT046,3229.224458
FDE45,OUT010,427.5944189
FDJ07,OUT013,1699.388742
FDQ45,OUT018,2746.666119
FDM33,OUT027,5092.318697
FDO15,OUT010,190.1855337
FDM46,OUT013,300.7399195
FDR03,OUT045,5258.725336
FDY49,OUT018,2142.491816
FDQ60,OUT045,1912.017308
FDW10,OUT049,447.7627897
FDO51,OUT049,864.8553752
FDJ40,OUT018,1461.70165
FDS20,OUT018,3203.19505
FDU45,OUT013,2231.472356
FDV02,OUT035,2668.175792
FDN09,OUT046,3378.279229
NCM55,OUT027,4231.200645
FDN23,OUT018,2456.286413
FDY31,OUT010,384.0112436
FDW03,OUT010,293.4073968
FDD14,OUT046,4728.447532
FDV23,OUT017,1874.136701
DRI03,OUT045,2378.738903
FDN13,OUT035,1365.753071
FDF45,OUT027,1973.549736
FDU46,OUT035,1565.034841
FDB57,OUT049,3346.832706
FDV12,OUT049,1913.084375
FDQ58,OUT013,2006.030125
NCA18,OUT017,1713.013237
FDH52,OUT049,161.290767
FDM24,OUT018,2497.392931
NCP43,OUT027,4172.994376
NCO18,OUT019,2518.788773
FDM32,OUT017,1720.222509
NCL07,OUT017,633.308628
FDK03,OUT013,4572.080165
FDP59,OUT017,1572.024681
FDQ24,OUT049,3673.606915
FDQ16,OUT018,2647.602068
FDU44,OUT013,2401.859356
FDH28,OUT010,148.4593329
FDV28,OUT019,154.3271108
FDM22,OUT045,946.0973167
FDR56,OUT046,2588.173469
FDV39,OUT049,2565.445199
FDU37,OUT019,286.2817808
FDQ11,OUT010,748.8331937
FDX02,OUT045,5209.491609
NCS42,OUT018,1463.435413
FDY57,OUT027,2643.893537
FDB21,OUT049,3966.041422
FDE28,OUT017,5340.81377
FDQ55,OUT017,2073.586391
FDA48,OUT049,3407.033057
FDZ19,OUT045,2225.691037
NCC43,OUT045,5157.413838
NCV18,OUT046,1536.00019
NCA42,OUT018,2740.364046
FDY45,OUT046,3889.779926
NCC30,OUT045,3001.396601
FDM57,OUT013,1153.721277
FDL09,OUT010,445.6725292
FDB09,OUT027,3225.324441
FDT44,OUT035,1718.506191
NCT06,OUT027,2640.246716
FDX26,OUT049,3327.418131
FDK32,OUT013,2567.54928
DRA12,OUT046,2039.415066
FDO46,OUT010,547.8069885
FDE52,OUT013,1322.417758
NCH42,OUT045,4087.374653
FDV08,OUT035,770.0746721
FDB47,OUT018,2500.187989
FDC28,OUT010,239.3909948
FDD22,OUT046,1809.807222
FDS07,OUT027,3120.585007
DRI13,OUT045,3645.039396
FDG32,OUT018,3458.661115
FDU14,OUT017,3828.05708
FDD28,OUT019,180.7930054
NCP41,OUT017,1706.19151
FDS08,OUT049,2417.985971
FDX47,OUT045,2110.937431
FDC53,OUT019,1722.741695
FDQ19,OUT035,3898.238419
FDL14,OUT045,2592.183072
FDM33,OUT019,5092.318697
FDA51,OUT045,1856.974915
FDZ27,OUT018,860.0883633
FDT04,OUT046,620.7719578
DRC13,OUT049,1893.840306
FDR16,OUT027,3329.268488
FDQ03,OUT027,5467.643439
FDE38,OUT035,2807.687981
DRH23,OUT027,2000.506165
FDT11,OUT019,615.5287244
FDD09,OUT035,2871.913858
FDR40,OUT045,1350.989586
FDX07,OUT017,2859.627267
FDR07,OUT035,1651.161669
FDA51,OUT017,1856.974915
FDT59,OUT019,4347.849082
FDF20,OUT017,3057.14553
FDR13,OUT045,1907.745655
FDY26,OUT049,4104.10812
FDW04,OUT017,1847.393542
FDK52,OUT017,4737.412098
FDN60,OUT049,2918.960002
FDM09,OUT019,468.3038514
FDP46,OUT049,1574.665331
FDB50,OUT019,316.739319
NCQ29,OUT049,3526.949348
FDP16,OUT027,5502.946187
FDX33,OUT018,2531.539194
FDP07,OUT010,505.5667138
FDN22,OUT046,3498.369411
FDF39,OUT049,3915.688573
FDS21,OUT017,946.2579012
NCM42,OUT013,2676.809708
FDK50,OUT019,540.2118626
DRF13,OUT027,3671.401178
FDH35,OUT018,2177.286061
FDP60,OUT018,1481.294266
DRJ49,OUT027,2761.258641
NCT42,OUT019,2447.981794
FDE38,OUT049,2807.687981
FDI04,OUT049,3629.272835
NCH54,OUT045,2829.582844
FDT56,OUT049,836.7378994
DRD15,OUT018,3216.955251
FDV58,OUT013,2739.847572
FDP21,OUT049,3555.193749
FDH05,OUT013,3294.498274
FDR10,OUT027,4258.818013
NCP06,OUT045,2179.688023
FDF33,OUT049,1933.186116
DRK37,OUT013,3497.100332
DRH49,OUT045,1297.344135
FDT58,OUT013,2646.337834
FDD41,OUT018,1575.601046
FDP40,OUT018,1862.544737
FDM51,OUT027,297.5135568
FDO45,OUT010,208.3224973
FDW33,OUT010,272.8528652
FDY24,OUT045,190.0389803
FDB10,OUT010,567.9389004
FDM40,OUT035,2298.20588
NCI06,OUT017,433.3177942
FDW12,OUT019,2624.366847
FDX48,OUT027,3957.711086
NCW05,OUT027,2688.26231
FDX27,OUT017,1454.969303
DRM37,OUT045,3872.762026
FDA38,OUT045,3770.775381
FDR36,OUT046,820.0075873
FDZ45,OUT046,3259.799747
FDG05,OUT017,2429.859492
FDK28,OUT013,4784.805506
FDV47,OUT045,1391.922519
FDN21,OUT045,2484.748965
FDP20,OUT027,1916.794803
FDI35,OUT045,3306.489046
DRY23,OUT013,602.4089059
FDA56,OUT017,1567.431319
FDB09,OUT013,3225.324441
NCO26,OUT027,2749.400738
FDQ49,OUT018,2609.471787
FDI52,OUT027,2854.111234
FDZ44,OUT027,3085.589535
FDZ09,OUT018,2641.404374
FDY03,OUT049,2025.429638
NCG42,OUT017,2179.746014
DRI13,OUT027,3645.039396
FDQ32,OUT013,2075.902129
FDW16,OUT035,1297.924607
FDU27,OUT046,929.5337894
FDR28,OUT010,406.8762418
FDQ49,OUT010,2609.471787
FDS37,OUT046,1822.950594
FDW26,OUT018,3197.28215
FDX12,OUT018,2932.37491
NCP06,OUT013,2179.688023
FDW45,OUT010,339.4472402
NCN30,OUT049,1459.2531
FDN24,OUT049,1012.162337
NCL41,OUT027,1547.056864
FDR02,OUT019,290.5949795
FDD09,OUT010,2871.913858
FDS33,OUT010,204.3982224
FDU22,OUT045,1959.655649
FDI53,OUT013,2225.172262
DRH01,OUT049,2925.697602
FDX32,OUT013,2576.112333
NCP30,OUT018,620.2583418
FDB60,OUT045,3198.310037
FDB14,OUT049,1584.849193
NCP02,OUT035,942.9592088
FDJ10,OUT017,267.8377728
FDG34,OUT046,1891.216534
NCB18,OUT017,1549.489378
FDM16,OUT049,1168.204703
FDW25,OUT018,1410.653643
FDB35,OUT010,2434.070937
DRN11,OUT013,2257.922423
FDF41,OUT019,4106.97238
FDH16,OUT045,1312.539615
NCQ50,OUT018,3072.651031
DRH23,OUT018,2000.506165
DRJ37,OUT013,2364.25964
DRJ24,OUT027,4638.101775
FDY16,OUT035,2949.821605
FDQ27,OUT045,1930.94527
FDZ33,OUT045,2044.641562
FDF29,OUT045,1986.373975
FDA08,OUT049,3147.477646
FDG31,OUT046,1178.959299
FDE34,OUT019,514.1726949
NCR30,OUT027,2090.389428
FDV33,OUT035,4026.074549
DRZ24,OUT018,2050.672064
NCL54,OUT035,3163.153588
FDR12,OUT049,2969.988924
NCC54,OUT046,720.7661666
DRN59,OUT013,808.7752416
FDX50,OUT019,255.8670146
FDV31,OUT027,4569.88151
NCA29,OUT027,4415.471443
FDW60,OUT049,2706.398537
FDX08,OUT017,2667.262449
DRD49,OUT013,3457.246879
FDD33,OUT046,3438.153968
FDW35,OUT013,809.4764846
FDJ36,OUT017,1694.397226
FDV51,OUT035,3315.957806
FDW36,OUT046,1663.06645
FDH35,OUT046,2177.286061
NCS30,OUT027,2971.858379
FDN49,OUT017,691.9584391
FDL08,OUT018,2965.250413
FDI09,OUT013,3604.530305
FDP19,OUT018,1723.445161
FDU21,OUT010,124.3199432
NCP41,OUT045,1706.19151
FDY10,OUT013,1917.831025
FDP12,OUT018,1554.918304
NCN26,OUT049,2039.747649
FDK44,OUT013,2343.562013
FDC28,OUT049,239.3909948
FDJ41,OUT027,5505.671401
NCT29,OUT035,1839.140738
NCH42,OUT019,4087.374653
FDU60,OUT018,2693.357938
FDS02,OUT045,3301.994066
FDC51,OUT046,2032.051256
FDU03,OUT013,3268.520836
FDX39,OUT045,3841.172761
NCY05,OUT010,141.332875
NCL06,OUT027,4113.67669
FDD32,OUT035,172.7944886
NCN41,OUT045,2084.058877
NCX53,OUT049,2466.458213
FDU57,OUT019,336.1403349
FDQ23,OUT046,2009.666914
FDQ52,OUT045,4727.482649
FDC14,OUT045,563.9288773
FDY09,OUT035,3528.238271
FDQ28,OUT045,2584.556079
FDV25,OUT046,4420.721691
FDJ07,OUT035,1699.388742
DRB25,OUT049,1624.065997
FDK52,OUT019,4737.412098
FDY52,OUT027,1785.099513
FDB28,OUT046,3491.101516
FDT36,OUT035,692.8660513
FDV25,OUT017,4420.721691
NCN07,OUT027,2148.424246
FDC57,OUT017,3299.229366
FDQ03,OUT018,5467.643439
FDU23,OUT017,2971.64833
NCX41,OUT035,3662.880377
NCD06,OUT035,847.7157454
FDW08,OUT045,1566.832734
NCU29,OUT017,2454.400977
NCE06,OUT013,2548.519774
FDV52,OUT010,241.8690919
FDB02,OUT017,3000.531683
NCR18,OUT045,694.8603357
FDK16,OUT049,1431.531837
NCQ29,OUT010,3526.949348
FDZ01,OUT019,271.1302763
FDW27,OUT035,2478.12464
FDD17,OUT018,3437.564647
FDW39,OUT013,2768.399489
DRH59,OUT045,1049.156947
FDS52,OUT013,1519.844924
FDU40,OUT027,5101.230153
NCF54,OUT013,2663.694913
FDH46,OUT045,1671.291791
NCP14,OUT049,241.8233509
FDH50,OUT049,3325.429286
DRF15,OUT010,341.0901
FDV27,OUT027,2442.438114
NCJ06,OUT049,2191.791131
FDN02,OUT018,2939.046919
FDQ51,OUT049,923.0091572
FDQ07,OUT017,492.9121057
FDS45,OUT049,1886.255249
NCJ06,OUT045,2191.791131
FDD36,OUT035,2020.4332
FDY25,OUT045,3618.978881
FDU52,OUT046,2610.202489
DRK47,OUT017,3399.419536
NCL30,OUT017,1996.660645
FDN22,OUT035,3498.369411
NCF30,OUT027,3152.667543
FDK03,OUT035,4572.080165
FDT45,OUT017,906.6182515
NCC54,OUT027,720.7661666
FDP08,OUT018,2956.764696
FDU44,OUT046,2401.859356
DRG39,OUT035,796.2852751
FDU32,OUT049,1914.655937
FDY27,OUT049,2029.131553
NCP54,OUT013,1993.970612
NCZ41,OUT049,2060.09028
DRL49,OUT013,2237.520257
FDI05,OUT018,1144.0474
FDY56,OUT045,5119.768816
DRC13,OUT013,1893.840306
NCV29,OUT017,2353.934104
FDR24,OUT049,1318.322878
FDZ34,OUT018,2711.203201
FDP37,OUT035,2008.343908
FDX08,OUT027,2667.262449
FDS57,OUT045,1985.078414
NCG18,OUT049,1738.792425
FDK25,OUT018,2819.468747
FDH53,OUT049,1500.899214
DRI59,OUT018,3750.307089
FDA52,OUT046,2662.332222
FDT20,OUT010,150.6717872
FDE36,OUT019,511.6806486
FDI24,OUT017,2967.510537
FDB28,OUT018,3491.101516
FDV11,OUT017,2595.205146
FDP01,OUT046,2252.422309
FDD34,OUT027,3976.506664
FDJ50,OUT027,1813.643152
FDZ44,OUT013,3085.589535
DRO59,OUT035,1396.92547
DRB48,OUT045,697.5975358
FDR21,OUT018,2598.330434
NCE42,OUT010,2830.208803
FDO23,OUT046,1585.359475
NCE30,OUT018,3120.329692
FDQ22,OUT035,665.412571
FDY01,OUT045,1927.010126
FDS08,OUT017,2417.985971
FDG28,OUT018,3717.501847
FDQ51,OUT018,923.0091572
FDB05,OUT017,4728.365903
FDO56,OUT049,1993.666735
FDE02,OUT018,1755.806447
FDN45,OUT017,597.421505
FDS09,OUT013,933.4647016
NCA54,OUT018,2537.734536
FDP09,OUT010,3691.306209
FDC53,OUT045,1722.741695
NCM55,OUT017,4231.200645
FDL09,OUT018,445.6725292
FDA11,OUT019,314.9554991
FDA50,OUT045,1569.753146
FDC23,OUT017,3779.405509
FDE22,OUT049,2361.139717
FDD23,OUT046,3441.515672
NCA29,OUT049,4415.471443
FDK38,OUT046,2352.38128
DRC13,OUT046,1893.840306
NCP43,OUT049,4172.994376
FDX28,OUT049,1378.906192
FDF08,OUT049,1422.048462
FDZ33,OUT046,2044.641562
FDD10,OUT049,2270.677343
